timestamp,email,status
2025-07-10T15:49:09.915866,careers@hindalco.com,Sent
2025-07-10T15:49:10.253518,hr@hindustanpetroleum.com,Sent
2025-07-10T15:49:10.574496,careers@hindustanpetroleum.com,Sent
2025-07-10T15:49:10.871124,hr@hindustanunilever.com,Sent
2025-07-10T15:49:11.171434,careers@hindustanunilever.com,Sent
2025-07-10T15:49:11.457993,hr@icicibank.com,Sent
2025-07-10T15:49:11.788818,careers@icicibank.com,Sent
2025-07-10T15:49:12.313414,hr@idbi.co.in,Sent
2025-07-10T15:49:12.651415,careers@idbi.co.in,Sent
2025-07-10T15:49:12.955735,hr@idea.adityabirla.com,Sent
2025-07-10T15:49:13.321489,careers@idea.adityabirla.com,Sent
2025-07-10T15:49:13.658405,hr@indianbank.co.in,Sent
2025-07-10T15:49:14.292700,careers@indianbank.co.in,Sent
2025-07-10T15:49:14.577229,hr@indianoil.co.in,Sent
2025-07-10T15:49:14.841117,careers@indianoil.co.in,Sent
2025-07-10T15:49:15.341361,hr@infosys.com,Sent
2025-07-10T15:49:16.462093,jobs@infosys.com,Sent
2025-07-10T15:49:16.769338,hr@itc.in,Sent
2025-07-10T15:49:17.026792,careers@itc.in,Sent
2025-07-10T15:49:17.250171,hr@jindalsteel.com,Sent
2025-07-10T15:49:17.528109,careers@jindalsteel.com,Sent
2025-07-10T15:49:17.794850,hr@jsw.in,Sent
2025-07-10T15:49:18.036759,careers@jsw.in,Sent
2025-07-10T15:49:18.284095,hr@kotak.com,Sent
2025-07-10T15:49:18.532277,careers@kotak.com,Sent
2025-07-10T15:49:18.774211,hr@larsentoubro.com,Sent
2025-07-10T15:49:19.051546,careers@larsentoubro.com,Sent
2025-07-10T15:49:19.468206,hr@mahindra.com,Sent
2025-07-10T15:49:19.724287,careers@mahindra.com,Sent
2025-07-10T15:49:19.982887,hr@marutisuzuki.com,Sent
2025-07-10T15:49:20.269967,careers@marutisuzuki.com,Sent
2025-07-10T15:49:20.521033,hr@ongc.co.in,Sent
2025-07-10T15:49:20.835959,careers@ongc.co.in,Sent
2025-07-10T15:49:21.097290,hr@pnb.co.in,Sent
2025-07-10T15:49:21.816903,careers@pnb.co.in,Sent
2025-07-10T15:49:22.098078,hr@powergridindia.com,Sent
2025-07-10T15:49:22.365646,careers@powergridindia.com,Sent
2025-07-10T15:49:22.644837,hr@ranbaxy.com,Sent
2025-07-10T15:49:22.976615,careers@ranbaxy.com,Sent
2025-07-10T15:49:23.254829,hr@relianceada.com,Sent
2025-07-10T15:49:23.555715,careers@relianceada.com,Sent
2025-07-10T15:49:23.833093,hr@relianceindustries.com,Sent
2025-07-10T15:49:24.089568,careers@relianceindustries.com,Sent
2025-07-10T15:49:24.426428,hr@sail.co.in,Sent
2025-07-10T15:49:24.682797,careers@sail.co.in,Sent
2025-07-10T15:49:24.957940,hr@sbi.co.in,Sent
2025-07-10T15:49:25.276962,careers@sbi.co.in,Sent
2025-07-10T15:49:25.884820,hr@siemens.com,Sent
2025-07-10T15:49:26.148974,jobs@siemens.com,Sent
2025-07-10T15:49:26.425046,hr@statebankofindia.com,Sent
2025-07-10T15:49:26.703050,careers@statebankofindia.com,Sent
2025-07-10T15:49:26.968418,hr@sunpharma.com,Sent
2025-07-10T15:49:27.272231,careers@sunpharma.com,Sent
2025-07-10T15:49:27.570422,hr@tatachemicals.com,Sent
2025-07-10T15:49:27.837435,careers@tatachemicals.com,Sent
2025-07-10T15:49:28.114287,hr@tatamotors.com,Sent
2025-07-10T15:49:28.421083,careers@tatamotors.com,Sent
2025-07-10T15:49:28.948603,hr@tatapower.com,Sent
2025-07-10T15:49:29.270173,careers@tatapower.com,Sent
2025-07-10T15:49:29.589128,hr@tatasteel.com,Sent
2025-07-10T15:49:29.900035,careers@tatasteel.com,Sent
2025-07-10T15:49:30.336814,hr@tcs.com,Sent
2025-07-10T15:49:30.645800,jobs@tcs.com,Sent
2025-07-10T15:49:31.131169,hr@techmahindra.com,Sent
2025-07-10T15:49:31.503588,jobs@techmahindra.com,Sent
2025-07-10T15:49:31.765512,hr@ultratechcement.com,Sent
2025-07-10T15:49:32.115042,careers@ultratechcement.com,Sent
2025-07-10T15:49:32.423711,hr@vedanta.co.in,Sent
2025-07-10T15:49:32.708235,careers@vedanta.co.in,Sent
2025-07-10T15:49:32.993318,hr@videoconmail.com,Sent
2025-07-10T15:49:33.283520,careers@videoconmail.com,Sent
2025-07-10T15:49:33.635827,hr@wipro.com,Sent
2025-07-10T15:49:33.901042,jobs@wipro.com,Sent
